gold_id,conversation_id,tweet_id,customer_message,suggested_intent,length_bucket,difficulty,priority,intent_label,should_escalate_human,reply_quality_human,judge_overall,judge_groundedness,notes
G001,amazon_1103660,1103660,@AmazonHelp . Here we go again. Why offer Prime members 2 day or 1 day shipping then ship UPS ground service despite my selection? #badhabit,prime_membership,medium,standard,,,,,,,
G002,amazon_641844,641844,@AmazonHelp I was due a delivery by 8pm tonight still no parcel and I pay for amazon prime and I just looked and it’s now saying it won’t be here till the 24th?! what is going on! I waited in all day this is a joke!! This isn’t good enough,delivery_tracking_delay,long,ambiguous,,,,,,,
G003,amazon_1043727,1043688,@AmazonHelp @115821 @115850 what reply you want? I have not received it. Please send it again. Why are you troubling your customers,missing_or_not_received,medium,standard,,,,,,,
G004,amazon_1387286,1387287,@AmazonHelp shall I cancel the order,cancel_order,short,standard,,,,,,,
G005,amazon_1370792,1370791,@AmazonHelp You are hurting businesses through your faulty #amazonfulfillment practices and damaging the shopping experience for the seller. #SNAFU,wrong_damaged_item,medium,standard,,,,,,,
G006,amazon_1384836,1384836,"Totally annoyed with @115821 customer services, how can it take so long to redeem a code?",gift_card,medium,standard,,,,,,,
G007,amazon_2240636,2240635,"@AmazonHelp I have a Amazon Gift card which has balance when I try to use it , it says the card balance is used. I have check the balance exist. So what information you need to help me better . Amazon Gift card I'd ? I am happy to share but on Twitter only the reason is mentioned earlier.",payment_billing,long,ambiguous,,,,,,,
G008,amazon_479398,479396,@AmazonHelp Lol now the status says the “business address was closed because of a holiday.” Huh? https://t.co/FFJbzvaTLg,address_delivery,medium,standard,,,,,,,
G009,amazon_981167,981165,"@115830 At the same address that my parcel is coming to....🤔 What the heck is going on??? This isn't looking good for Xmas, is it?",address_delivery,medium,standard,,,,,,,
G010,amazon_282739,438887,@AmazonHelp Amazon- Do you sell product to survive only return expiration period. Go to CP in Delhi. Tempered glass is available for merely Rs 100 per piece. Yet I bought Netboon at Rs 1800. I did not buy from Netboon. Who is Netbeen ? Nobody know. I bought from Amazon. @115937 @118702,refund_return,long,standard,,,,,,,
G011,amazon_255025,255024,@AmazonHelp same product and same price by two vendors! A: I'll deliver it by 4-5 Oct B: I'll deliver it by 4-10 Oct which one do you choose?! @115821,payment_billing,medium,standard,,,,,,,
G012,amazon_2330916,2330916,@115833 @115888 where do I report bugs to? One (but only one) of my echos thinks I’m not connected to spotify and I can’t solve it,other,medium,hard,,,,,,,
G013,amazon_56854,56854,@115821 what do you mean my package can't be delivered. I've had packages dropped off at the address before,address_delivery,medium,standard,,,,,,,
G014,amazon_2668019,2668021,"@AmazonHelp Je ne peux pas me connecter , mon compte est verrouillé ! My account is locked !!",account_login,medium,standard,,,,,,,
G015,amazon_703020,703020,"@115850 Please roll out all the Alexa Echo features for indian users too. Voice training, identification of multiple users, traffic - these are must.",other,medium,hard,,,,,,,
G016,amazon_35845,35849,@AmazonHelp I have twice. This will not fix a stupid driver who cannot read the address or instructions correctly.,address_delivery,medium,standard,,,,,,,
G017,amazon_2728051,2728051,@AmazonHelp suspending my account because of a fraudulent transaction that had nothing to do with me - joke. Any chance of getting help from someone in customer services who doesn’t just send repeated template replies??,payment_billing,long,ambiguous,,,,,,,
G018,amazon_2930653,2930653,@115821 @AmazonHelp I have placed similar order through muy https://t.co/OoFST3q4aY and Amazon.in Global Store. Please help me cancel anyone.,cancel_order,medium,standard,,,,,,,
G019,amazon_2956000,2955997,@AmazonHelp How do you set up a number of devices on amazon music with the same Alexa account will it automatically sign it self up for amazon music unlimited,account_login,medium,standard,,,,,,,
G020,amazon_2540272,2540270,"@AmazonHelp I just want to know what the point of Prime even is if there are constantly delays, with zero acknowledgement and zero credit given. You guys had no problem charging a raised annual fee, yet since then I get constant delays.",payment_billing,long,ambiguous,,,,,,,
G021,amazon_1730186,1730186,.@115830 @AmazonHelp Can I buy gift cards for other countries from the UK? Want 1 for amazon.ca as the last giftcard was limited to UK?,gift_card,medium,standard,,,,,,,
G022,amazon_1043727,1043650,@AmazonHelp @115850 @115821 How many times and on how many platforms should I register my complaint. No of Delivery agent provided is also wrong,delivery_tracking_delay,medium,standard,,,,,,,
G023,amazon_976728,976728,@115850 Can u tell me reason for cancellation of my order number #408-1388958-0740354?,cancel_order,medium,standard,,,,,,,
G024,amazon_1557215,1557208,@AmazonHelp then I really don't think they should be advertised as prime...,prime_membership,medium,standard,,,,,,,
G025,amazon_2954483,2954483,@AmazonHelp @115821 @115830 so I tried to get some help and now Amazon or someone pretending to be Amazon is asking me for all my personal and card details. #somethingisnotright https://t.co/CuQ6FMsN5w,payment_billing,long,standard,,,,,,,
G026,amazon_2408713,2408713,"@115821 on your tv install. For my zip it's $127, up to 5 devices is the estimate. All I have is a dvr &amp; sound bar. Would the price be the same?Thanks, Tom",payment_billing,medium,standard,,,,,,,
G027,amazon_2230567,2230567,@AmazonHelp i can't login on the web browser but the app allows me to login i get a message saying i need to provet that it is me,account_login,medium,standard,,,,,,,
G028,amazon_2693897,2693897,Is $59.95 the final price or do I have to pay more? @AmazonHelp https://t.co/bCLyYlVhiu,payment_billing,medium,standard,,,,,,,
G029,amazon_1402193,1402192,@AmazonHelp the date to redeem that is drawing to an end soon,gift_card,medium,standard,,,,,,,
G030,amazon_1723864,1723864,@115850 really surprised that such you would allow shipping a broken item. Broken handle neatly placed in box as if it’s routine..! https://t.co/Fa5mtvCYnh,wrong_damaged_item,medium,standard,,,,,,,
G031,amazon_1487380,1487380,"@118706 and @115821...where in the HELL is my daughter-in-law's package? The tracker hasn't updated for TWO DAYS, saying ""out for delivery""...",delivery_tracking_delay,medium,standard,,,,,,,
G032,amazon_1200587,1200587,"@115850 . I had bought the one plus 5 smartphone on 27th July under the SBI debit card offer of ₹1500 cashback. Not received it yet,",missing_or_not_received,medium,ambiguous,,,,,,,
G033,amazon_2882204,2882203,Bought a cleansing brush on amazon bc i forgot to cancel my subscription &amp; was charged anyway for the month.,payment_billing,medium,ambiguous,,,,,,,
G034,amazon_939604,939603,@AmazonHelp thanks this was sent to my other email account that i don't have with amazon,account_login,medium,standard,,,,,,,
G035,amazon_2588681,2588681,@115850 Need to cancel an order. Unable to do so. Please assist.,cancel_order,medium,standard,,,,,,,
G036,amazon_2840131,2840128,@AmazonHelp No. Tengo la cuenta bloqueada desde el primer día que inicie mi prueba Amazon Prime. Y ahora no puedo ni acceder a mi cuenta para cancelar la suscripción. ¿Qué hago?. Me cancelaron todos mis pedidos.,prime_membership,long,standard,,,,,,,
G037,amazon_2971971,2971971,No @118706 has informed @AmazonHelp that my packages have been damaged before they even made an attempt to ship them out,wrong_damaged_item,medium,standard,,,,,,,
G038,amazon_2289176,2289176,@AmazonHelp how do we contact amazon customer service? a product that i received which was 'fulfilled by amazon' was the wrong product.,wrong_damaged_item,medium,standard,,,,,,,
G039,amazon_929582,929582,"@AmazonHelp package arrived, is being pushed to different parts of courier facility, update address and send me product I ordered on 10oct",address_delivery,medium,standard,,,,,,,
G040,amazon_487702,487702,@AmazonHelp I have been trying to get back into my Prime® account that you deleted by mistake. It's been going on since Nov. 26th.,account_login,medium,ambiguous,,,,,,,
G041,amazon_174534,174534,@AmazonHelp hi. When I enter my email address and password I am seeing 'we cannot find an account with that email address'. Any ideas why this might be? They are stored in the browser so is definitely the correct credentials.,account_login,long,ambiguous,,,,,,,
G042,amazon_39583,39583,"Constantly getting notifications that my @115821 orders arrived when they didn’t. And the customer service agent I’m chatting with is so rude. I already canceled Fresh.. don’t want to cancel Prime, too 😐",prime_membership,long,ambiguous,0.0,,,,,,
G043,amazon_834789,834789,@AmazonHelp hello. I ordered a refund/return weeks ago but no one came to pick up the item?,refund_return,medium,standard,,,,,,,
